N,P,K,temperaturec,temperaturef,ph,rainfall,label
92,44,16,18.87751445,65.97952601,6.082973754,94.76189431,maize
66,54,21,25.19008683,77.34215629,5.919045532,72.12375573,maize
63,58,22,18.25405352,64.85729634,6.204747653,63.72358154,maize
70,47,17,24.6129118,76.30324124,6.600827017,104.1626147,maize
61,41,17,25.1420613,77.25571034,6.021902237,76.68456006,maize
66,53,19,23.09348056,73.56826501,6.033550195,65.49730729,maize
74,55,19,18.05033737,64.49060727,6.28886807,84.23613484,maize
77,57,21,24.9321581,76.87788458,6.550563823,79.74078719,maize
99,50,15,18.14710054,64.66478097,5.573286437,88.07753741,maize
74,56,22,18.28362235,64.91052023,6.829199275,80.97573281,maize
83,45,21,18.83344471,65.90020048,5.716222912,79.7532896,maize
100,48,16,25.71895816,78.29412469,5.54990242,74.51490791,maize
79,51,16,25.33797709,77.60835876,6.586244581,96.46380213,maize
94,39,18,23.89114571,75.00406228,5.893093135,102.8301942,maize
75,49,15,21.53574127,70.76433429,5.918263801,102.4852929,maize
78,48,22,23.08974909,73.56154836,5.588650585,70.43473609,maize
87,54,20,25.61707368,78.11073262,6.576418207,108.8303762,maize
87,35,25,21.44526922,70.6014846,6.178056304,65.88951188,maize
63,43,19,18.51816776,65.33270197,6.641906353,90.988051,maize
84,57,25,22.53510514,72.56318925,6.489040367,64.40866039,maize
64,35,23,23.02038334,73.43669001,5.680361038,63.03843397,maize
60,46,22,24.89364635,76.80856343,6.625404348,87.9298085,maize
98,44,21,25.77175115,78.38915207,6.524478032,107.4931917,maize
75,56,18,19.39851734,66.91733121,5.696205468,60.95197486,maize
86,55,21,21.54156232,70.77481218,6.803931519,109.7515385,maize
98,35,18,23.79746068,74.83542922,6.252797548,91.76337172,maize
76,57,18,18.9802729,66.16449122,6.092725883,94.26249353,maize
99,56,17,24.10859207,75.39546573,6.234330356,71.07562236,maize
60,44,23,24.7947077,76.63047386,5.722579819,76.72860067,maize
74,48,17,21.63162756,70.93692961,6.430616465,69.21803098,maize
89,60,17,25.37548751,77.67587752,5.983952675,101.7004306,maize
69,51,23,22.21738222,71.991288,6.80163854,106.6213157,maize
96,46,22,20.58314011,69.0496522,6.499936446,66.29390357,maize
61,60,15,24.87502824,76.77505083,6.265564338,91.26056654,maize
74,58,18,20.03728219,68.06710794,6.727303282,109.024141,maize
74,43,23,25.95263264,78.71473875,6.325235159,99.57981207,maize
63,43,17,19.28889933,66.72001879,6.807487794,71.3195307,maize
99,36,20,20.57981887,69.04367397,6.671085817,78.34604471,maize
77,36,23,24.71417533,76.48551559,6.648725327,88.45361858,maize
87,60,23,20.27317074,68.49170733,6.439071996,62.50351892,maize
60,38,17,18.41932981,65.15479366,6.474476516,76.41312437,maize
94,54,17,23.39128187,74.10430737,5.871647806,107.3198135,maize
95,38,22,19.84939404,67.72890927,5.730617109,100.7689246,maize
84,44,21,21.869274,71.3646932,5.850439831,107.2681929,maize
77,58,19,22.8056033,73.05008594,5.791649933,101.5952794,maize
66,44,20,19.0781471,66.34066478,6.740000688,80.72515943,maize
63,35,16,22.02720976,71.64897757,6.272417541,83.73280082,maize
79,45,20,23.80546189,74.8498314,5.715208817,89.9622014,maize
72,60,25,18.52510753,65.34519355,5.773454729,88.10234397,maize
67,51,24,23.50297882,74.30536188,5.584171461,64.77791424,maize
86,36,24,26.54986394,79.78975509,5.787268394,73.33636055,maize
76,48,18,19.29563411,66.7321414,5.77597783,83.21030571,maize
75,53,18,20.68899915,69.24019847,6.864793607,103.651438,maize
81,45,23,19.32666088,66.78798958,6.192360003,84.22969177,maize
73,45,21,24.60532218,76.28957992,6.636803223,96.59195302,maize
71,35,24,22.27373646,72.09272563,5.826426917,67.96704792,maize
96,54,22,25.70196694,78.26354049,6.960358276,83.20711308,maize
99,39,18,19.20129357,66.56232843,6.11275104,87.85092352,maize
62,48,20,21.70181447,71.06326605,6.708446922,95.71388473,maize
86,37,16,20.51716779,68.93090202,5.561510732,67.61013737,maize
94,50,19,23.30355338,73.94639608,5.873242491,97.59081274,maize
76,39,24,24.2547451,75.65854118,6.995843776,64.23845455,maize
77,52,17,24.86374934,76.75474881,5.714799723,75.82270467,maize
74,39,23,22.6265115,72.7277207,6.78073637,88.17251033,maize
81,49,20,18.04185513,64.47533923,5.513697923,104.2321615,maize
63,42,21,23.26237612,73.87227702,5.798423908,67.10225139,maize
99,38,21,22.88330922,73.1899566,6.352471866,67.72777298,maize
90,52,25,25.97482359,78.75468246,6.822586546,103.2234212,maize
68,40,19,26.14384005,79.05891209,6.655426355,107.2361366,maize
60,57,24,18.66116213,65.59009183,6.121294041,75.03247667,maize
71,52,18,25.10787449,77.19417408,5.790770203,78.16077693,maize
61,59,17,23.33844615,74.00920307,6.47444292,105.0083144,maize
88,38,15,25.08239719,77.14831494,6.455116637,62.49190812,maize
65,60,22,25.36768364,77.66183055,6.606984086,107.9124111,maize
78,37,22,25.34217103,77.61590785,6.330554389,74.52082026,maize
78,58,15,25.00933355,77.01680039,6.528631266,62.91359494,maize
92,60,23,18.66746724,65.60144103,5.721667141,69.93293255,maize
79,59,17,20.37999665,68.68399397,6.644205485,108.5054416,maize
91,55,15,18.09300227,64.56740409,6.376651091,78.96159541,maize
76,51,18,26.16985907,79.10574633,6.247040422,79.84925393,maize
87,48,25,18.65396672,65.5771401,6.656730008,93.62039175,maize
71,60,22,26.07470121,78.93446218,6.2048017,85.75692395,maize
90,57,24,18.92851916,66.07133449,6.158860284,82.34162918,maize
67,35,22,23.30546753,73.94984155,6.385684214,108.7603001,maize
60,54,19,18.74826712,65.74688082,6.417820493,70.23401597,maize
83,58,23,19.74213321,67.53583978,6.381201909,65.50861389,maize
83,57,19,25.73044432,78.31479978,6.877869005,98.73771338,maize
40,72,77,17.02498456,62.64497221,7.485996067,88.55123143,chickpea
23,72,84,19.02061277,66.23710299,6.920251378,79.92698081,chickpea
39,58,85,17.88776475,64.19797655,5.996932037,68.54932919,chickpea
22,72,85,18.86805647,65.96250165,6.391173589,88.51048983,chickpea
36,67,77,18.36952567,65.06514621,7.152811172,79.26357665,chickpea
32,73,81,20.45078582,68.81141448,5.988992796,92.68373702,chickpea
58,70,84,20.6543203,69.17777654,6.231049028,74.6631118,chickpea
59,70,84,17.3348681,63.20276258,7.550808267,82.61734721,chickpea
42,62,75,18.17912258,64.72242064,7.010570541,81.84997529,chickpea
28,74,81,18.01272266,64.42290079,8.753795334,81.98568791,chickpea
58,66,79,20.99373558,69.78872404,8.718192847,93.55280105,chickpea
43,66,79,19.46233971,67.03221148,7.976607593,74.58565097,chickpea
58,63,81,19.81344531,67.66420156,6.515499549,78.96514709,chickpea
23,62,85,18.97424756,66.15364561,8.490127142,80.7108745,chickpea
27,62,77,18.19737048,64.75526686,6.576415562,70.18185181,chickpea
28,72,84,18.72963144,65.71333659,6.481783043,71.58010169,chickpea
50,56,76,20.99502153,69.79103875,7.966605025,73.50734019,chickpea
39,71,84,20.28155898,68.50680616,8.140825437,82.52339655,chickpea
25,78,76,17.48042641,63.46476754,7.228963452,66.96980581,chickpea
31,70,77,20.88818675,69.59873615,6.492546046,90.46228334,chickpea
26,80,83,17.08498521,62.75297338,7.528599957,71.31007253,chickpea
25,68,77,20.09340593,68.16813067,7.701446446,85.74904898,chickpea
31,78,76,17.57212145,63.62981861,8.519975748,89.31050665,chickpea
60,68,83,19.12065218,66.41717392,6.620900869,85.52950164,chickpea
59,62,83,18.57665902,65.43798624,8.104396058,72.94940441,chickpea
22,67,78,17.16606398,62.89891516,6.204090835,72.32667516,chickpea
36,65,80,18.2872007,64.91696126,6.051091339,74.87445574,chickpea
59,60,84,19.03025305,66.25445549,7.690962338,94.70992037,chickpea
54,77,85,17.1418614,62.85535052,7.829211144,83.74606679,chickpea
43,68,81,17.47809436,63.46056985,6.761599706,78.92060234,chickpea
28,76,82,20.56601874,69.01883373,6.654425315,83.75937135,chickpea
42,79,85,17.22385224,63.00293403,6.129533877,76.57580954,chickpea
32,60,83,19.69141713,67.44455083,8.829273328,91.76071648,chickpea
22,78,76,17.84851658,64.12732984,8.621662982,76.32470713,chickpea
31,79,75,18.8202251,65.87640518,8.204862075,89.73119396,chickpea
28,58,81,17.47500984,63.45501771,6.18042747,93.35034262,chickpea
57,58,77,18.72649425,65.70768965,7.978996755,81.20176515,chickpea
49,55,78,18.65580107,65.58044193,7.863113671,81.70769297,chickpea
46,76,77,18.2356751,64.82421518,6.967843048,83.74879344,chickpea
54,61,77,18.81198127,65.86156629,6.206582193,77.5429424,chickpea
38,60,76,18.65054116,65.57097409,8.868741443,77.92798682,chickpea
59,55,79,20.36720401,68.66096722,8.766128654,82.2545577,chickpea
36,76,75,18.38120357,65.08616643,8.736337905,70.52056697,chickpea
57,68,81,17.17012591,62.90622664,8.081095263,72.78624223,chickpea
35,66,81,19.37101121,66.86782018,6.138243973,85.24819851,chickpea
35,64,78,17.92845928,64.2712267,7.496645259,85.37378769,chickpea
52,60,79,19.45339934,67.01611881,8.380185271,75.6317566,chickpea
27,76,83,19.12829388,66.43092898,6.289614016,89.61857826,chickpea
57,60,84,19.1034283,66.38617094,6.586777189,75.49101167,chickpea
52,68,78,17.48504075,63.47307335,6.89655198,86.05078037,chickpea
43,79,79,19.40751744,66.93353139,7.806747656,80.25064637,chickpea
44,74,85,20.18649426,68.33568967,7.150681303,78.26039559,chickpea
24,55,78,17.30287885,63.14518193,6.64919573,75.57790384,chickpea
29,77,75,17.50361137,63.50650047,7.778591618,72.9446671,chickpea
20,60,78,18.17234999,64.71022998,6.358740355,90.7760707,chickpea
56,67,78,17.57445618,63.63402112,8.255450758,77.81891424,chickpea
37,66,85,20.93175255,69.67715459,6.456148474,78.06910795,chickpea
49,71,76,19.71098332,67.47976998,6.613072145,85.57925437,chickpea
59,69,80,19.07937684,66.34287831,8.165359297,69.40619137,chickpea
20,79,77,18.54988627,65.38979529,7.64867466,76.32565249,chickpea
24,56,85,18.19903647,64.75826565,6.545888558,80.6405403,chickpea
51,72,75,18.88852533,65.99934559,7.104224797,80.1113384,chickpea
57,73,85,18.49311205,65.28760169,7.358099622,91.94595352,chickpea
22,64,82,19.48974337,67.08153807,6.4740245,87.51312796,chickpea
52,73,79,17.25769499,63.06385098,7.840339389,94.00287214,chickpea
29,75,75,19.62416326,67.32349387,7.064790365,88.4585692,chickpea
44,59,78,20.67526473,69.21547651,7.599033472,84.78344008,chickpea
41,69,82,20.02381489,68.0428668,6.715587232,68.97806542,chickpea
52,56,85,20.1187446,68.21374028,6.81712422,88.68168643,chickpea
34,76,80,20.65691793,69.18245227,7.985417393,65.23811143,chickpea
42,74,83,19.2582557,66.66486026,7.545258424,65.78042032,chickpea
34,71,79,17.927806,64.2700508,7.728998197,74.63872762,chickpea
27,73,79,19.16288268,66.49318882,7.354973451,82.69766829,chickpea
30,70,79,20.26942271,68.48496088,7.313122235,69.64449182,chickpea
57,57,75,17.09104223,62.76387601,7.785039076,87.27444866,chickpea
27,79,82,17.06579293,62.71842727,6.307004923,70.87150577,chickpea
32,71,85,20.62767492,69.12981486,6.403982316,92.06630306,chickpea
31,76,82,20.8248451,69.48472118,7.599279991,79.20509212,chickpea
33,75,84,19.46210401,67.03178722,7.217018459,68.81405149,chickpea
47,80,77,17.18248372,62.9284707,7.561108006,72.85017344,chickpea
54,62,80,17.48911699,63.48041058,7.489545074,79.45758333,chickpea
47,79,78,17.48395377,63.47111679,6.609696734,65.11365631,chickpea
35,57,83,19.48316794,67.06970229,7.476800943,80.4986291,chickpea
53,73,77,19.71359733,67.48447519,7.325451279,73.64476535,chickpea
45,61,78,19.48649305,67.07568749,6.489389282,81.5284269,chickpea
37,78,79,19.95264829,67.91476692,7.786366322,88.6810311,chickpea
30,75,81,19.41789736,66.95221525,6.408437886,68.4951189,chickpea
37,55,82,19.45591848,67.02065326,8.423873703,78.44910564,chickpea
53,65,76,20.19137759,68.34447966,8.719960893,77.33795356,chickpea
22,60,85,18.8392908,65.91072344,7.811997977,94.78189594,chickpea
60,61,78,20.71219282,69.28194708,6.317153205,94.03659867,chickpea
42,67,77,18.99424448,66.18964006,7.114405288,78.69707199,chickpea
39,76,76,19.96837462,67.94307432,8.135900726,69.15759062,chickpea
35,63,76,17.81564548,64.06816186,7.714153038,90.82097601,chickpea
30,65,82,20.71424384,69.28563891,7.103798069,76.77888672,chickpea
57,56,78,17.34150229,63.21470412,8.861479668,67.9545435,chickpea
48,65,78,17.43732714,63.38718885,7.861128148,73.0926704,chickpea
36,56,83,18.89780215,66.01604387,7.4526709,69.09512477,chickpea
40,58,75,18.59190771,65.46543388,7.168096055,89.60982451,chickpea
49,69,82,18.31561493,64.96810687,7.26311855,81.78710463,chickpea
13,60,25,17.13692774,62.84646993,5.68597166,128.256862,kidneybeans
25,70,16,19.63474332,67.34253798,5.759237003,106.3598183,kidneybeans
31,55,22,22.91350245,73.24430441,5.873171894,109.225556,kidneybeans
40,64,16,16.43340342,61.58012616,5.926676985,140.3717815,kidneybeans
2,61,20,22.13974653,71.85154375,5.95561668,76.64128258,kidneybeans
26,65,22,17.84806561,64.1265181,5.949949081,143.0984171,kidneybeans
17,57,21,19.88394011,67.7910922,5.789214289,60.91974792,kidneybeans
26,80,18,19.32509638,66.78517348,5.581021521,104.7783947,kidneybeans
17,59,17,18.4167001,65.15006018,5.689858133,132.9801054,kidneybeans
27,59,22,21.81167649,71.26101768,5.794158504,130.0608093,kidneybeans
28,58,24,19.72702528,67.5086455,5.748190463,143.7630894,kidneybeans
25,57,19,17.15432954,62.87779317,5.566522896,87.99669731,kidneybeans
28,80,17,19.62207826,67.31974087,5.809419584,144.1567454,kidneybeans
25,60,22,21.63149148,70.93668466,5.887263027,134.3649948,kidneybeans
12,78,23,16.06522754,60.91740957,5.99812453,88.06638775,kidneybeans
6,77,25,20.61162204,69.10091967,5.792744849,69.63833855,kidneybeans
22,79,17,21.42451099,70.56411978,5.912289889,116.5206923,kidneybeans
27,80,15,19.07096165,66.32773097,5.788386951,86.21917578,kidneybeans
10,55,23,21.18853178,70.1393572,5.728233081,137.1948633,kidneybeans
23,65,20,23.0429097,73.47723746,5.833940084,108.3684316,kidneybeans
19,78,16,20.65375833,69.17676499,5.967533236,67.71768947,kidneybeans
19,65,25,18.09551014,64.57191825,5.625096446,144.7902323,kidneybeans
22,70,19,18.23775702,64.82796264,5.515615023,69.44951585,kidneybeans
37,64,22,17.48189735,63.46741523,5.954665349,121.9401369,kidneybeans
11,71,17,19.9191786,67.85452148,5.74644777,82.68554379,kidneybeans
18,79,20,20.27514686,68.49526435,5.877347515,139.7521543,kidneybeans
21,63,17,15.77370214,60.39266385,5.979973965,108.3441414,kidneybeans
24,80,22,16.71170642,62.08107156,5.635993966,96.77285817,kidneybeans
34,60,22,17.66148158,63.79066684,5.635231778,100.6711761,kidneybeans
16,75,21,18.50692825,65.31247085,5.679224346,87.0513289,kidneybeans
17,77,23,24.51324787,76.12384617,5.670062975,64.19497947,kidneybeans
37,72,18,18.87614998,65.97706996,5.724242065,105.4120514,kidneybeans
40,73,20,21.59343016,70.86817429,5.811314232,61.13872036,kidneybeans
9,77,17,20.12373284,68.22271911,5.783425416,106.158201,kidneybeans
1,62,23,15.43546065,59.78382917,5.607808432,139.0302034,kidneybeans
33,59,22,22.64236876,72.75626377,5.946999529,122.3886015,kidneybeans
23,59,19,21.98560799,71.57409438,5.852046999,129.5650601,kidneybeans
6,62,22,20.53052663,68.95494793,5.824090984,120.4509288,kidneybeans
25,63,20,15.78601387,60.41482497,5.502999119,95.17028129,kidneybeans
7,79,23,19.6365349,67.34576282,5.821649914,96.65888933,kidneybeans
8,72,17,20.57341244,69.03214239,5.711439256,87.87869161,kidneybeans
27,64,15,20.16080524,68.28944943,5.514927264,138.2362122,kidneybeans
28,66,23,21.53989176,70.77180517,5.99616119,120.6913038,kidneybeans
32,57,18,15.53834801,59.96902642,5.695422863,107.3850593,kidneybeans
27,56,22,19.91853092,67.85335566,5.833010958,108.6434544,kidneybeans
17,77,24,20.76952209,69.38513976,5.568456899,109.0193712,kidneybeans
0,65,15,23.46168338,74.23103008,5.645435626,95.84253438,kidneybeans
13,72,21,24.32116642,75.77809956,5.821194486,60.27552528,kidneybeans
34,60,23,20.12574053,68.22633295,5.659254981,100.0497183,kidneybeans
9,80,19,21.80619564,71.25115215,5.945465949,125.0972687,kidneybeans
11,72,20,19.52226241,67.14007234,5.951177452,113.334026,kidneybeans
3,67,24,17.00067625,62.60121725,5.520880014,103.2926407,kidneybeans
35,69,23,16.78791503,62.21824705,5.578410206,75.45328039,kidneybeans
3,77,25,24.84906168,76.72831102,5.608165195,62.21292186,kidneybeans
23,62,19,16.51783455,61.73210219,5.609435128,98.77794225,kidneybeans
22,71,17,18.15300153,64.67540275,5.509295379,107.6907964,kidneybeans
31,79,25,23.18864385,73.73955893,5.902033406,63.38208822,kidneybeans
34,59,18,23.38002569,74.08404624,5.744117663,87.66898664,kidneybeans
12,63,17,18.358923,65.0460614,5.717143397,138.414764,kidneybeans
27,56,20,19.25975367,66.66755661,5.542690119,94.9533526,kidneybeans
7,63,24,22.95458237,73.31824827,5.858617867,107.7315386,kidneybeans
24,67,22,20.120043,68.2160774,5.618844277,104.6252153,kidneybeans
11,71,24,21.14011423,70.05220561,5.606620346,141.6056722,kidneybeans
37,74,15,24.92360104,76.86248187,5.582178402,62.7089169,kidneybeans
25,76,24,15.33042636,59.59476745,5.56503533,135.3315583,kidneybeans
34,66,17,18.81097271,65.85975088,5.889614577,125.084915,kidneybeans
20,69,15,23.44260668,74.19669202,5.934136378,107.4137246,kidneybeans
37,65,16,22.8352024,73.10336432,5.683548308,63.59276673,kidneybeans
18,74,15,24.9035819,76.82644742,5.70836603,146.4727237,kidneybeans
4,67,25,23.78709569,74.81677224,5.948164454,119.6404412,kidneybeans
37,56,25,22.05592283,71.70066109,5.774755144,126.7265372,kidneybeans
5,59,15,18.87492997,65.97487395,5.97229163,134.1811718,kidneybeans
11,61,21,18.62328774,65.52191793,5.532100554,135.3378033,kidneybeans
22,80,20,23.00884744,73.41592539,5.669560726,100.118612,kidneybeans
12,61,19,19.33162606,66.79692691,5.655726817,68.51253427,kidneybeans
5,74,21,16.24469193,61.24044547,5.591704014,66.97053257,kidneybeans
27,69,22,17.91652287,64.24974117,5.932323085,69.14681022,kidneybeans
31,75,18,15.46789263,59.84220673,5.824208309,88.88796102,kidneybeans
36,68,20,17.06104474,62.70988053,5.86442953,81.83420522,kidneybeans
5,65,16,21.32776028,70.3899685,5.866744372,109.1013261,kidneybeans
32,79,15,23.90910104,75.03638187,5.706198621,81.60211243,kidneybeans
11,78,22,23.89756791,75.01562224,5.940546818,112.6616435,kidneybeans
0,55,22,22.98666928,73.3760047,5.916779289,143.8584938,kidneybeans
14,59,15,21.35135729,70.43244312,5.779090476,146.4548645,kidneybeans
29,68,23,24.1638445,75.4949201,5.82738029,116.7324324,kidneybeans
32,68,19,24.62835037,76.33103067,5.514234138,149.7441028,kidneybeans
17,64,17,21.02213209,69.83983776,5.662699104,124.6118471,kidneybeans
13,69,19,17.30844532,63.15520158,5.86390397,115.199245,kidneybeans
14,67,22,23.82576704,74.88638067,5.624690248,84.64143632,kidneybeans
9,69,20,19.30607278,66.750931,5.591560999,129.3449326,kidneybeans
20,73,22,16.03768615,60.86783507,5.976312538,130.3900798,kidneybeans
40,78,20,19.18572809,66.53431056,5.669236258,80.15293435,kidneybeans
27,72,23,19.92889503,67.87201105,5.961934481,64.02640797,kidneybeans
14,67,15,19.56376468,67.21477642,5.690065688,139.2921004,kidneybeans
7,56,18,18.31357543,64.96443577,5.698371311,76.14153904,kidneybeans
27,65,18,20.10993761,68.1978877,5.59503163,73.36386477,kidneybeans
30,63,16,23.60506572,74.4891183,5.525904526,100.5978728,kidneybeans
37,70,25,19.73136909,67.51646436,5.819403771,84.06354115,kidneybeans
27,63,19,20.93409877,69.68137779,5.562201934,133.1914419,kidneybeans
22,60,24,18.78226261,65.8080727,5.630664753,104.2570723,kidneybeans
3,72,24,36.51268371,97.72283068,6.03160778,122.6539694,pigeonpeas
40,59,23,36.89163721,98.40494698,5.269084669,163.7266551,pigeonpeas
33,73,23,29.23540524,84.62372943,5.985792703,103.3301803,pigeonpeas
27,57,24,27.33534897,81.20362815,6.09186275,142.3303677,pigeonpeas
